CellCode,pv_potential,temp,wind_speed,precipitation
5kmE154N102_1,1845.1866153846156,20.800000000000004,5.641860255033556,
5kmE154N103_1,1848.348,20.8,7.346547046153846,
5kmE154N103_2,1822.5974666666664,20.346666666666668,5.819727189221557,
5kmE154N103_3,1768.8012857142858,20.11428571428572,7.111076871764706,
5kmE155N101_2,1836.5843529411768,20.78235294117647,6.777379289230769,
5kmE155N102_1,1798.37690625,20.590625,4.590027669230769,
5kmE155N102_2,1840.0251428571428,20.8,5.2054129637583895,
5kmE155N102_3,1790.2009393939395,20.53636363636364,4.916867541095891,
5kmE155N102_4,1723.0132058823528,18.09705882352941,3.8185559830136975,
5kmE155N103_1,1721.240625,16.91875,5.995210319452054,
5kmE155N103_2,1665.7323684210526,19.43684210526316,6.798113626822917,
5kmE155N103_3,1577.8446451612904,16.725806451612904,4.482673582043343,
5kmE156N101_1,1828.5079090909087,20.6,7.549290145977011,
5kmE156N101_2,1859.8529166666667,20.60833333333333,7.884527665925925,
5kmE156N102_1,1762.9521333333332,18.62,6.278740269461078,
5kmE156N102_2,1699.6631515151514,15.396969696969698,4.453833450958904,
5kmE156N102_3,1710.5873333333332,20.03333333333333,6.423965486666666,
5kmE156N102_4,1640.6638928571429,17.860714285714288,5.1372412979937305,
5kmE156N103_1,1508.4000967741936,18.348387096774196,2.899822229173789,
5kmE156N103_2,1522.118333333333,20.5,3.77268213,
5kmE156N103_3,1604.2997575757577,15.239393939393938,5.239740289247312,
5kmE156N103_4,1587.25964,18.3,5.284093448188406,
5kmE157N102_1,1663.3945,20.0,5.449460756321839,
5kmE157N103_1,1624.6319,17.51,5.023410336901408,
5kmE157N103_2,1603.7120344827586,18.144827586206898,4.646301659375,
5kmE157N103_3,1686.2374444444445,20.077777777777776,5.879244752830189,
5kmE157N103_4,1661.3762,20.1,4.68165502,
5kmE159N109_1,1721.9544545454546,20.44545454545454,7.991062381196581,
5kmE159N110_2,1645.71378125,19.94375,2.4349697953521128,
